Product Name,Original Price,Discounted Price,Discount,Reviews,Category
Too Faced Better Than Sex Mascara - Black,1550,1550,No Discount,10140,Beauty
Too Faced Better Than Sex Mascara - Black,1550,1550,No Discount,10140,Baby
"Swiss Beauty 3 In 1 Eyeliner, Eyebrow Filler and Kajal , 24-...",429,322,25% Off,34914,Beauty
"Swiss Beauty 3 In 1 Eyeliner, Eyebrow Filler and Kajal , 24-...",429,322,25% Off,34914,Baby
SUGAR Complete Makeup Kit - Medium,5927,4149,30% Off,881,Beauty
SUGAR Complete Makeup Kit - Medium,5927,4149,30% Off,881,Baby
Smashbox Halo Healthy Glow All-In-One Tinted Moisturizer Fou...,3690,3690,No Discount,23256,Beauty
Smashbox Halo Healthy Glow All-In-One Tinted Moisturizer Fou...,3690,3690,No Discount,23256,Baby
"Pilgrim Dubai Bling Glitter Lipstick Soft Matte Finish, Non-...",695,591,15% Off,3126,Beauty
"Pilgrim Dubai Bling Glitter Lipstick Soft Matte Finish, Non-...",695,591,15% Off,3126,Baby
PAC Beginner Basic Face & Eye Brush Kit - Sturdy Sleek Handl...,1895,1800,5% Off,290,Beauty
PAC Beginner Basic Face & Eye Brush Kit - Sturdy Sleek Handl...,1895,1800,5% Off,290,Baby
NYX Professional Makeup Smushy Matte Lip Balm,899,899,No Discount,233,Beauty
NYX Professional Makeup Smushy Matte Lip Balm,899,899,No Discount,233,Baby
NYX Professional Makeup Fat Oil Lip Drip,799,799,No Discount,360,Beauty
NYX Professional Makeup Fat Oil Lip Drip,799,799,No Discount,360,Baby
NARS The Multiple,3800,3800,No Discount,15,Beauty
NARS The Multiple,3800,3800,No Discount,15,Baby
MARS Dance Of Joy Eyeshadow Palette,299,284,5% Off,30234,Beauty
MARS Dance Of Joy Eyeshadow Palette,299,284,5% Off,30234,Baby
M.A.C Studio Fix Fluid SPF 15 Soft Matte Foundation With Hya...,4000,3400,15% Off,686256,Beauty
M.A.C Studio Fix Fluid SPF 15 Soft Matte Foundation With Hya...,4000,3400,15% Off,686256,Baby
L'Oreal Paris Voluminous Panorama Waterproof Mascara Volumiz...,999,949,5% Off,2831,Beauty
L'Oreal Paris Voluminous Panorama Waterproof Mascara Volumiz...,999,949,5% Off,2831,Baby
"L'Oreal Paris Infallible 3-Second Setting Spray, 36hr Long L...",799,719,10% Off,7746,Beauty
"L'Oreal Paris Infallible 3-Second Setting Spray, 36hr Long L...",799,719,10% Off,7746,Baby
Insight Cosmetics Lip & Cheek Tint - Strawberry Summer,115,115,No Discount,37360,Beauty
Insight Cosmetics Lip & Cheek Tint - Strawberry Summer,115,115,No Discount,37360,Baby
Flicka Silk Touch 3-In-1 Moisturizer Primer And Sun Care Der...,899,809,10% Off,15405,Beauty
Flicka Silk Touch 3-In-1 Moisturizer Primer And Sun Care Der...,899,809,10% Off,15405,Baby
Faces Canada Strobe Cream Primer + Highlighter + Moisturizer...,599,499,17% Off,23505,Beauty
Faces Canada Strobe Cream Primer + Highlighter + Moisturizer...,599,499,17% Off,23505,Baby
ETUDE Dear Darling Water Gel Lip and Cheek Tint Lipstick,450,405,10% Off,22608,Beauty
ETUDE Dear Darling Water Gel Lip and Cheek Tint Lipstick,450,405,10% Off,22608,Baby
e.l.f. Cosmetics Power Grip Primer,1300,1300,No Discount,6639,Beauty
e.l.f. Cosmetics Power Grip Primer,1300,1300,No Discount,6639,Baby
Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun...,1799,1619,10% Off,18222,Beauty
Daily Life Forever52 Pro Artist Ultra Definition Liquid Foun...,1799,1619,10% Off,18222,Baby
Charlotte Tilbury Airbrush Flawless Setting Spray,3950,3950,No Discount,10926,Baby
0,3950,3950,No Discount,10926,Beauty
